company_id,count
345606655,18
15636643,0
382362949,0
343741499,1
357654619,9
371832462,5
58902957,0
1036080,1
368797002,0
449352236,0
403174675,0
347806394,20
474902190,1
41700229,2
565371844,1
88344442,4
367529023,0
368465322,9
399049127,5
34571114,6
84935239,2
357286839,3
351496915,0
354039840,5
46334533,0
491530,4
11357063,1
37946301,2
346812613,9
452607947,3
482749925,0
7488505,0
355337503,9
373999419,19
351120045,1
415340921,6
355050990,0
465721774,79
346139170,1
414967704,2
456636953,2
348028559,1
13730244,0
354744892,4
23337197,10
355635424,1
1297273,1
442312890,1
7230360,4
40976990,0
371612868,2
353617837,0
350773745,6
54086536,20
343534626,1
562973453,15
72319468,2
469162567,0
454702104,0
5046357,0
408689294,4
73467931,12
353573352,12
69046086,0
425716997,18
371552178,72
18645253,0
166871680,4
462531207,1
564820327,1
481972092,24
451437455,1
370409561,0
436508245,26
359121123,15
447344790,0
19202118,1
371637022,0
369354597,1
38784766,2
16285901,51
94421309,9
108069526,10
471073351,1
32967861,0
6636018,2
99436217,6
370361277,68
405767719,4
356324217,1
407259845,1
355777523,12
481724431,16
78431374,2
395994382,2
355153299,3
37471809,0
351983793,0
347399680,5
547221171,1
369116652,6
348571155,1
368480470,1
347809850,2
75646852,1
395770379,9
483185279,0
371828882,12
371673449,6
353932347,2
471096511,55
456734350,5
5000005532,3
15239777,0
69601433,0
512188084,4
405174231,7
7213320,7
372130529,13
38486276,0
412485751,3
346094418,3
345550705,6
369811887,2
117539907,3
83788395,2
426925730,0
435823497,3
371748461,2
100616899,0
363277407,2
359083052,11
358872930,1
73517467,11
3769662,11
371565166,0
363322563,3
371448117,0
90376318,1
346611297,6
373136190,0
31817798,1
395958013,2
356450282,2
477993855,0
468076301,1
348007791,0
459041826,0
353486152,8
356868635,5
51711334,0
353604301,0
398516175,0
197198302,5
19251473,2
473929945,9
42257292,0
456549834,2
43008678,0
367601642,5
345270451,0
67568295,1
454668095,0
103678045,0
31526339,0
563150460,10
348096259,3
465664288,0
99107406,1
452864187,0
372534935,6
351945737,40
73141316,1
397484059,0
31506962,1
29458534,0
94601513,1
68094588,0
346612518,10
406971689,0
22790993,6
1360556,0
19530373,6
28263092,3
558555136,0
356852103,6
15830455,9
185417948,6
348346526,0
398349957,1
457152451,3
371555726,1
357843114,1
372218363,0
53821575,4
351205479,0
204555040,0
476970254,3
351508397,14
1101503342,0
371449994,1
37603352,3
1188837172,0
353858806,0
179028465,14
435565620,2
357420385,2
465264403,3
358828482,1
89770466,7
47402198,0
407240828,4
414140782,8
3031214,1
38896563,5
359022327,1
462183270,5
1558307,5
37718680,5
151143134,7
357599470,2
347177047,30
355893597,4
38782452,0
462388389,1
542958165,0
8093846,0
565046484,1
34671342,0
359683092,4
374860240,0
3311835,1
359501238,2
28918327,0
49643729,0
356532456,0
27297758,0
450270441,0
369057716,3
117473441,3
348551271,2
353492965,6
254853547,0
372288574,0
27213987,3
346556215,0
348782767,11
415311773,3
353966739,0
407621808,11
7262893,0
62096866,0
343687668,1
371023687,0
343578628,2
354627278,4
4065804,0
536054763,0
436805968,0
357193750,4
127582501,0
358666590,1
481454874,22
355767379,0
369399579,20
353711984,4
359155171,0
458070497,2
408827875,3
41107588,1
409353662,0
35504858,0
20660613,2
348472522,5
17057381,0
371547163,0
3641104,0
1125422984,0
63446905,0
357965783,17
455894257,16
354251880,13
43291505,7
50544987,0
83788446,4
353877852,1
359528228,1
344613672,1
566147182,20
465902371,6
448365889,0
368270164,0
481645312,0
464772780,2
370846594,1
41566249,1
566140598,0
346608384,2
1786069,0
346293276,14
1135947682,4
408761704,6
235978784,0
451918680,0
346003061,5
564798173,3
37258838,0
353898869,1
467845440,5
37666921,0
353712974,4
552688045,1
13631716,5
560059586,23
346536699,6
21498108,3
371581430,3
545842613,2
463956970,8
348167011,0
355642030,18
358829136,0
80462028,5
359474303,1
558106318,0
353687381,0
2722282,1
368872232,0
467084765,9
547834544,16
371678853,6
351330043,1
1177416107,12
453092440,23
369218079,3
248365313,0
398787043,1
34276125,1
475612582,0
481009063,1
693153,0
443640781,0
356480842,6
371534878,0
371623484,3
78661260,2
354848397,2
358585135,6
527868510,1
352356548,1
460668171,8
564782066,1
347497492,3
345594844,0
73058871,0
395928212,9
354119800,2
356277080,0
53461387,0
566126886,0
52282823,1
82248834,1
560702205,6
348708393,4
465421847,7
28872638,0
465418523,7
347570733,1
358220279,15
79741640,1
416013695,0
73515823,0
566148146,0
562958217,1
1334284229,0
374842644,0
408092164,4
559440982,4
555946177,2
51152666,1
480118793,0
156221784,1
538539905,5
566146829,0
26166402,1
455257854,5
482374147,0
352540797,2
36835094,0
557226028,0
1333592173,0
20367187,6
347793762,11
